pais_id,pais,provincia_id,provincia,anio,familia,genero,especie,especies_agrupadas,rollizos,carbon,lenia,postes,otros,todos_los_productos
32,Argentina,34,Formosa,1999,Meliáceas,Melia,Paraiso,Otras,2,0,0,0,0,2
32,Argentina,54,Misiones,1999,Meliáceas,Melia,Paraiso,Otras,22672,0,0,0,0,22672
32,Argentina,54,Misiones,2000,Meliáceas,Melia,Paraiso,Otras,16642,0,0,0,0,16642
32,Argentina,54,Misiones,2001,Meliáceas,Melia,Paraiso,Otras,15021,0,0,0,0,15021
32,Argentina,54,Misiones,2002,Meliáceas,Melia,Paraiso,Otras,21062,0,4,0,0,21066
32,Argentina,6,Buenos Aires,2003,Meliáceas,Melia,Paraiso,Otras,221,0,0,0,0,221
32,Argentina,18,Corrientes,2003,Meliáceas,Melia,Paraiso,Otras,82,0,0,0,0,82
32,Argentina,54,Misiones,2003,Meliáceas,Melia,Paraiso,Otras,27815,0,140,0,0,27955
32,Argentina,54,Misiones,2004,Meliáceas,Melia,Paraiso,Otras,21649,91,178,0,0,21918
32,Argentina,34,Formosa,2005,Meliáceas,Melia,Paraiso,Otras,9,0,0,0,0,9
32,Argentina,54,Misiones,2005,Meliáceas,Melia,Paraiso,Otras,21741,0,14,0,0,21755
32,Argentina,54,Misiones,2006,Meliáceas,Melia,Paraiso,Otras,18936,0,0,122,0,19058
32,Argentina,34,Formosa,2007,Meliáceas,Melia,Paraiso,Otras,51,0,0,0,0,51
32,Argentina,54,Misiones,2007,Meliáceas,Melia,Paraiso,Otras,15474,0,0,263,0,15737
32,Argentina,34,Formosa,2008,Meliáceas,Melia,Paraiso,Otras,60,0,0,0,0,60
32,Argentina,54,Misiones,2008,Meliáceas,Melia,Paraiso,Otras,11765,0,0,0,0,11765
32,Argentina,34,Formosa,2009,Meliáceas,Melia,Paraiso,Otras,15,0,0,0,0,15
32,Argentina,54,Misiones,2009,Meliáceas,Melia,Paraiso,Otras,11356,0,0,3,0,11359
32,Argentina,6,Buenos Aires,2010,Meliáceas,Melia,Paraiso,Otras,446,0,0,0,0,446
32,Argentina,18,Corrientes,2010,Meliáceas,Melia,Paraiso,Otras,78,0,0,0,0,78
32,Argentina,34,Formosa,2010,Meliáceas,Melia,Paraiso,Otras,2,0,0,0,0,2
32,Argentina,54,Misiones,2010,Meliáceas,Melia,Paraiso,Otras,10316,0,0,6,0,10322
32,Argentina,18,Corrientes,2011,Meliáceas,Melia,Paraiso,Otras,39,0,0,0,0,39
32,Argentina,34,Formosa,2011,Meliáceas,Melia,Paraiso,Otras,40,0,0,0,0,40
32,Argentina,54,Misiones,2011,Meliáceas,Melia,Paraiso,Otras,10801,0,0,6,0,10807
32,Argentina,54,Misiones,2012,Meliáceas,Melia,Paraiso,Otras,10806,0,0,0,0,10806
32,Argentina,54,Misiones,2013,Meliáceas,Melia,Paraiso,Otras,10162,0,0,0,0,10162
32,Argentina,54,Misiones,2014,Meliáceas,Melia,Paraiso,Otras,7424,0,0,0,0,7424
32,Argentina,54,Misiones,2015,Meliáceas,Melia,Paraiso,Otras,10264,0,0,0,0,10264
32,Argentina,66,Salta,2015,Meliáceas,Melia,Paraiso,Otras,284,0,0,0,0,284
32,Argentina,66,Salta,2015,Meliáceas,Toona,Toona,Otras,171,0,0,0,0,171
32,Argentina,54,Misiones,2016,Meliáceas,Melia,Paraiso,Otras,12184,0,0,0,0,12184
32,Argentina,54,Misiones,2017,Meliáceas,Melia,Paraiso,Otras,10324,0,0,0,0,10324
32,Argentina,6,Buenos Aires,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,515091,139775,156223,7625,0,818714
32,Argentina,22,Chaco,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,187,0,0,0,0,187
32,Argentina,18,Corrientes,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,215531,0,0,0,0,215531
32,Argentina,30,Entre Rios,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,457430,0,0,35782,30198,523410
32,Argentina,38,Jujuy,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,24186,4637,0,1188,0,30011
32,Argentina,42,La Pampa,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1400,0,7835,0,0,9235
32,Argentina,50,Mendoza,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,11,0,0,0,0,11
32,Argentina,54,Misiones,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,99536,0,0,0,0,99536
32,Argentina,82,Santa Fe,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,156187,0,0,0,0,156187
32,Argentina,90,Tucuman,1998,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,791,0,0,0,0,791
32,Argentina,6,Buenos Aires,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,310554,0,0,0,0,310554
32,Argentina,22,Chaco,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,1600,0,0,1440,0,3040
32,Argentina,18,Corrientes,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,224023,0,0,27396,8345,259764
32,Argentina,30,Entre Rios,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,471251,0,0,29987,27808,529046
32,Argentina,34,Formosa,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,5,0,0,0,0,5
32,Argentina,38,Jujuy,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,7301,0,0,1065,0,8366
32,Argentina,42,La Pampa,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2591,25,5413,0,0,8029
32,Argentina,54,Misiones,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,24041,0,0,0,0,24041
32,Argentina,82,Santa Fe,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,144895,0,0,0,0,144895
32,Argentina,90,Tucuman,1999,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2733,0,0,0,0,2733
32,Argentina,6,Buenos Aires,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,288998,0,0,0,0,288998
32,Argentina,14,Cordoba,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,8560,840,7200,0,0,16600
32,Argentina,18,Corrientes,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,247238,0,0,53666,10209,311113
32,Argentina,30,Entre Rios,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,629346,0,0,32508,29838,691692
32,Argentina,38,Jujuy,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,14175,0,0,1611,0,15786
32,Argentina,42,La Pampa,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,968,175,3592,0,0,4735
32,Argentina,54,Misiones,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,89480,0,0,0,0,89480
32,Argentina,82,Santa Fe,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,99104,0,0,0,0,99104
32,Argentina,90,Tucuman,2000,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2243,0,0,0,0,2243
32,Argentina,6,Buenos Aires,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,107777,0,0,0,0,107777
32,Argentina,26,Chubut,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,2,0,0,0,0,2
32,Argentina,14,Cordoba,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,8560,840,7200,0,0,16600
32,Argentina,18,Corrientes,2001,Mirtáceas,Eucalyptus,Eucalipto,Eucaliptos,296417,0,0,35729,6636,338782
