indice_tiempo,precio_futuro_londres_marzo,precio_futuro_londres_mayo,precio_futuro_londres_agosto,precio_futuro_londres_octubre,precio_futuro_londres_diciembre,precio_futuro_nueva_york_marzo,precio_futuro_nueva_york_mayo,precio_futuro_nueva_york_julio,precio_futuro_nueva_york_octubre
2013-03-20,,530.60,514.80,,,,18.35,18.42,18.83
2013-03-21,,528.40,510.90,,,,18.21,18.27,18.88
2013-03-22,,527.10,509.50,,,,18.20,18.21,18.60
2013-03-23,,520.70,504.80,,,,,,
2013-03-24,,,,,,,,,
2013-03-25,,513.80,499.00,,,,17.97,18.00,18.43
2013-03-26,,513.80,499.00,,,,17.78,17.82,18.28
2013-03-27,,508.40,497.40,,,,,,
2013-03-28,,503.30,494.20,,,,,,
2013-03-29,,,,,,,,,
2013-03-30,,,,,,,,,
2013-03-31,,,,,,,,,
2013-04-01,,,,,,,17.59,17.66,18.10
2013-04-02,,502.40,495.50,,,,17.69,17.72,18.13
2013-04-03,,504.90,492.00,,,,17.50,17.58,18.01
2013-04-04,,504.40,489.90,,,,17.67,17.69,18.06
2013-04-05,,,,,,,17.65,17.67,18.06
2013-04-06,,,,,,,,,
2013-04-07,,,,,,,,,
2013-04-08,,509.30,492.20,,,,17.70,17.69,18.10
2013-04-09,,506.40,491.40,,,,17.72,17.72,18.11
2013-04-10,,509.90,494.70,,,,17.90,17.88,18.24
2013-04-11,,517.50,497.60,,,,17.84,17.79,18.17
2013-04-12,,522.20,501.90,,,,18.03,17.84,18.21
2013-04-13,,,,,,,,,
2013-04-14,,,,,,,,,
2013-04-15,,519.70,497.30,,,,17.79,17.55,17.93
2013-04-16,,505.60,499.10,,,,18.01,17.87,18.20
2013-04-17,,506.90,499.30,,,,17.85,17.79,18.13
2013-04-18,,502.70,495.20,,,,17.69,17.61,17.98
2013-04-19,,508.80,499.70,,,,17.97,17.88,18.23
2013-04-20,,,,,,,,,
2013-04-21,,,,,,,,,
2013-04-22,,504.00,496.60,,,,17.87,17.74,18.08
2013-04-23,,494.80,486.50,,,,17.06,17.07,17.45
2013-04-24,,499.50,491.50,,,,17.40,17.37,17.75
2013-04-25,,498.60,490.80,,,,17.41,17.38,17.75
2013-04-26,,500.50,493.30,,,,17.36,17.42,17.80
2013-04-27,,,,,,,,,
